,name,address,lat,lon,coordinates,rating
1942,Cheers @ Esso,Cheers @ Esso - Jalan Bukit Merah,1.2826787,103.8213991,"[1.2826787, 103.8213991]",5.0
1943,Alegria,Alegria - Teck Lim Road,1.28051,103.84188,"[1.28051, 103.84188]",
1944,Fatty Cheong Roast Meat&Wanton Noodles,Fatty Cheong Roast Meat&Wanton Noodles  - Redhill Food Centre [Stall 92],1.287400384752321,103.8179643,"[1.287400384752321, 103.8179643]",4.4
1945,Tien Court,Tien Court - Copthorne King's Hotel,1.2882428,103.8367598,"[1.2882428, 103.8367598]",
1946,Starbucks,Starbucks - Tiong Bahru Plaza,1.2860763072967527,103.8274779,"[1.2860763072967527, 103.8274779]",4.4
1947,Jupiter Juice,Jupiter Juice - Tanjong Pagar Centre,1.277091,103.8453984,"[1.277091, 103.8453984]",
1948,Fatimah Muslim Food,Fatimah Muslim Food - Redhill Food Centre [Stall 78],1.2873767666666664,103.8181133,"[1.2873767666666664, 103.8181133]",4.4
1949,Superstar K Korean BBQ,Superstar K Korean BBQ - Tanjong Pagar Road,1.2780073,103.84372544098144,"[1.2780073, 103.84372544098144]",4.3
1950,Ringo Handmade Fishball Noodle,Ringo Handmade Fishball Noodle - Redhill Food Centre [Stall 59],1.28734,103.8182741,"[1.28734, 103.8182741]",4.0
1951,The Coffee Bean & Tea Leaf,The Coffee Bean & Tea Leaf - Tiong Bahru Plaza,1.2862943,103.82743644714354,"[1.2862943, 103.82743644714354]",4.4
1952,Hong Kong Style Fish Head Bee Hoon,Hong Kong Style Fish Head Bee Hoon  - Redhill Food Centre [Stall 12],1.2872238,103.8185729,"[1.2872238, 103.8185729]",3.9
1953,Each A Cup,Each A Cup - Tanjong Pagar Plaza,1.274870537536315,103.84263453989522,"[1.274870537536315, 103.84263453989522]",5.0
1954,Song Le Local Fried Delights,Song Le Local Fried Delights - 85 Redhill Lane,1.287703130624602,103.81837165615993,"[1.287703130624602, 103.81837165615993]",3.7
1955,Master Choy Roasted Delights,Master Choy Roasted Delights - Tiong Bahru View,1.2860579,103.8295158,"[1.2860579, 103.8295158]",3.6
1956,Mr Bean,Mr Bean - Redhill MRT,1.2891663,103.8171258,"[1.2891663, 103.8171258]",4.5
1957,Kuriya Japanese Market,Kuriya Japanese Market - Tiong Bahru Plaza,1.286553960869565,103.8270308,"[1.286553960869565, 103.8270308]",4.5
1958,Hong Kong Sheng Kee Pau,Hong Kong Sheng Kee Pau - Tiong Bahru Plaza,1.2863725420664207,103.82763836958154,"[1.2863725420664207, 103.82763836958154]",4.3
1959,Little Wola Cafe,Little Wola Cafe - Jalan Kukoh,1.28764061173692,103.839410568411,"[1.28764061173692, 103.839410568411]",5.0
1960,Nana Curry,Nana Curry - Tiong Bahru Plaza,1.2864132,103.82745777461491,"[1.2864132, 103.82745777461491]",3.6
1961,Mr Teh Tarik Express,Mr Teh Tarik Express - Artra,1.2898037815478536,103.8170237,"[1.2898037815478536, 103.8170237]",4.2
1962,Shenton FoodHall,Shenton FoodHall - Shenton House,1.27879826162625,103.850003530089,"[1.27879826162625, 103.850003530089]",
1963,Botany,Botany - Robertson Quay,1.2900782,103.8370771,"[1.2900782, 103.8370771]",5.0
1964,Ciao Bella,Ciao Bella - Tiong Bahru Plaza,1.286659552,103.8278224,"[1.286659552, 103.8278224]",
1965,Long John Silver's,Long John Silver's - Tiong Bahru Plaza,1.2864805379450388,103.8277742467056,"[1.2864805379450388, 103.8277742467056]",4.1
1966,I Love Yoo!,I Love Yoo! - Tiong Bahru Plaza,1.2865374142857142,103.8271564,"[1.2865374142857142, 103.8271564]",4.4
1967,Shi Li Fang,Shi Li Fang - Tiong Bahru Plaza,1.286659552,103.8278224,"[1.286659552, 103.8278224]",
1968,Soon Lee Pig's Organ Soup,Soon Lee Pig's Organ Soup - Zion Road,1.29258445,103.8313036,"[1.29258445, 103.8313036]",
1969,Eat cetera,Eat cetera - Artra,1.29026915,103.8174246,"[1.29026915, 103.8174246]",4.6
1970,Shihlin Taiwan Street Snacks,Shihlin Taiwan Street Snacks - Tiong Bahru Plaza,1.2865670260869566,103.8272282,"[1.2865670260869566, 103.8272282]",4.5
1971,McDonald's,McDonald's - Springleaf Tower,1.2747543,103.84613227844235,"[1.2747543, 103.84613227844235]",4.2
1972,Todamgol Restaurant,Todamgol Restaurant - Tanjong Pagar Road,1.2793017666666666,103.8439488,"[1.2793017666666666, 103.8439488]",2.8
1973,Twelve Cupcakes,Twelve Cupcakes - Vivocity,1.2648039399958937,103.82220177840912,"[1.2648039399958937, 103.82220177840912]",4.0
1974,Subway,Subway - Tiong Bahru Plaza,1.286295,103.82782216319396,"[1.286295, 103.82782216319396]",4.2
